time,lat,lon,region,season,split,sst_normalized,pc1,pc2
2024-03-22,19.75,63.75,arabian_sea,pre_monsoon_MAM,test,-0.8171367883095747,-3.5473232,2.1362746
2023-06-26,19.25,65.0,arabian_sea,summer_monsoon_JJA,val,1.0867740804168902,1.5699823,-2.1259067
2023-07-24,10.75,85.25,bay_of_bengal,summer_monsoon_JJA,val,0.34339729113327383,1.4052751,0.82378286
2022-03-09,19.25,86.5,bay_of_bengal,pre_monsoon_MAM,train,-0.21810474202946584,-4.5110617,-0.73032665
2021-02-04,10.75,59.75,arabian_sea,winter_monsoon_DJF,train,-1.47101982041204,-5.66483,2.5277503
2022-07-07,13.25,85.25,bay_of_bengal,summer_monsoon_JJA,train,0.5931138314343156,3.5216713,-2.5678177
2023-10-01,19.5,69.0,arabian_sea,post_monsoon_SON,val,0.6710602734788084,2.2612085,2.4324422
2022-08-16,15.5,59.75,arabian_sea,summer_monsoon_JJA,train,-2.163875798220478,-10.342431,1.4267983
2023-03-15,7.75,72.25,arabian_sea,pre_monsoon_MAM,val,0.6205397373199039,4.064286,-5.2258797
2021-05-06,8.75,54.0,arabian_sea,pre_monsoon_MAM,train,1.1647202471451095,1.1638098,-1.403909
2022-09-17,14.25,50.0,arabian_sea,post_monsoon_SON,train,0.9510899614240129,-0.08541253,-2.38012
2024-05-22,8.0,95.25,bay_of_bengal,pre_monsoon_MAM,test,1.1315209590074655,0.59834445,-2.0526881
2022-08-11,11.0,84.75,bay_of_bengal,summer_monsoon_JJA,train,0.08501957618905506,-0.31602496,-1.2241509
2022-05-23,21.0,60.25,arabian_sea,pre_monsoon_MAM,train,0.3318497006803423,-1.1175503,-1.0033541
2021-07-11,15.5,65.0,arabian_sea,summer_monsoon_JJA,train,0.5296022216013289,1.1951839,2.4825435
2023-06-23,9.75,91.5,bay_of_bengal,summer_monsoon_JJA,val,0.3592750559333838,0.61798054,1.9842248
2022-05-03,13.5,66.25,arabian_sea,pre_monsoon_MAM,train,1.4822791222588632,2.632887,0.6969805
2023-03-17,13.25,85.75,bay_of_bengal,pre_monsoon_MAM,val,-0.25707796305171227,-0.4148623,1.2907834
2023-12-07,13.0,58.0,arabian_sea,winter_monsoon_DJF,val,-0.622270958514616,-0.8446197,0.64815915
2021-01-25,18.5,68.0,arabian_sea,winter_monsoon_DJF,train,-1.6384600196376837,-6.8763347,-0.19480824
2021-11-16,15.75,66.75,arabian_sea,post_monsoon_SON,train,-0.3566761027809175,-2.2088008,0.5932962
2022-08-13,11.75,59.25,arabian_sea,summer_monsoon_JJA,train,-2.1133552620615736,-9.596911,-0.6239934
2024-10-30,5.5,83.5,bay_of_bengal,post_monsoon_SON,test,0.6190959787824799,1.0978996,-0.3701403
2023-06-07,15.5,52.75,arabian_sea,summer_monsoon_JJA,val,1.1632770392402323,-1.7528529,-4.9969234
2023-09-13,10.0,89.25,bay_of_bengal,post_monsoon_SON,val,0.15574860212779484,0.8621559,0.5459616
2024-03-04,18.5,64.0,arabian_sea,pre_monsoon_MAM,test,-1.4883413437495738,-6.3103123,3.0488095
2021-10-24,21.25,66.75,arabian_sea,post_monsoon_SON,train,-0.06509937501532813,-1.0823226,2.0020084
2022-08-11,16.0,56.75,arabian_sea,summer_monsoon_JJA,train,-2.1667624893465063,-11.567112,1.4247409
2021-09-11,16.5,86.5,bay_of_bengal,post_monsoon_SON,train,0.379483545713219,-0.7681233,1.1962794
2024-10-12,9.5,71.25,arabian_sea,post_monsoon_SON,test,0.4025790019353554,0.3848868,1.0095339
2022-07-15,17.75,92.0,bay_of_bengal,summer_monsoon_JJA,train,0.5252720472541503,2.4922686,1.0266418
2022-11-28,6.5,63.25,arabian_sea,post_monsoon_SON,train,0.356388364807356,-0.606303,-1.4385641
2023-04-12,16.5,87.0,bay_of_bengal,pre_monsoon_MAM,val,0.916446914748945,2.9854789,-1.7232201
2023-10-17,15.5,55.0,arabian_sea,post_monsoon_SON,val,0.5858969659611092,-0.63413525,-1.8327832
2023-06-19,12.5,87.5,bay_of_bengal,summer_monsoon_JJA,val,0.6840513471528905,3.4645653,-0.49442375
2021-05-27,10.75,89.75,bay_of_bengal,pre_monsoon_MAM,train,0.8182925335571637,2.8131652,0.87507296
2021-08-09,9.5,54.0,arabian_sea,summer_monsoon_JJA,train,-2.8653924000395468,-15.510403,-13.887078
2023-08-05,8.0,76.0,arabian_sea,summer_monsoon_JJA,val,0.1312102133170545,-0.4771603,-0.96337557
2023-04-11,17.25,66.25,arabian_sea,pre_monsoon_MAM,val,0.41268283385086296,1.1510854,2.2403908
2024-01-05,11.0,61.25,arabian_sea,winter_monsoon_DJF,test,-0.2209919837880404,-0.8023952,1.9288008
2021-03-26,14.75,65.75,arabian_sea,pre_monsoon_MAM,train,0.06769832816779445,1.378836,1.9138591
2022-11-24,14.75,86.25,bay_of_bengal,post_monsoon_SON,train,0.07058501929382233,1.2587528,-0.55354416
2024-09-30,24.75,58.5,arabian_sea,post_monsoon_SON,test,1.3826812578459313,1.0176955,0.6828563
2024-02-08,7.75,84.0,bay_of_bengal,winter_monsoon_DJF,test,0.17018315902302758,1.4434756,2.4749064
2021-01-14,9.75,67.5,arabian_sea,winter_monsoon_DJF,train,-0.14881947462815004,-0.095962405,1.2619901
2021-08-24,13.5,63.75,arabian_sea,summer_monsoon_JJA,train,-0.7160954406754921,-1.9169923,1.7404594
2023-11-20,7.0,69.25,arabian_sea,post_monsoon_SON,val,1.0146012959407262,2.9540644,2.3056831
2021-02-18,10.25,93.75,bay_of_bengal,winter_monsoon_DJF,train,0.07924591862072597,0.6162569,0.8403705
2022-07-21,13.75,87.75,bay_of_bengal,summer_monsoon_JJA,train,0.20915610472900065,1.6949701,-0.17742682
2024-07-21,15.0,90.25,bay_of_bengal,summer_monsoon_JJA,test,0.21493003761360308,-1.2270103,-1.3313882
2021-05-05,13.0,96.25,bay_of_bengal,pre_monsoon_MAM,train,1.9456267742298217,3.3440986,-0.9864919
2024-05-27,22.75,63.75,arabian_sea,pre_monsoon_MAM,test,1.3509254529294379,1.5059826,1.5696555
2023-12-18,16.5,90.25,bay_of_bengal,winter_monsoon_DJF,val,-0.3379113715385063,-1.2778907,2.222577
2023-05-17,6.0,85.75,bay_of_bengal,pre_monsoon_MAM,val,0.5296022216013289,1.4465871,0.30520254
2021-11-03,13.75,56.75,arabian_sea,post_monsoon_SON,train,-0.4952471882160958,-6.6624513,-4.1388063
2023-10-28,12.5,52.75,arabian_sea,post_monsoon_SON,val,-0.3032686001797117,-1.0767784,-1.0414608
2021-12-17,13.5,69.75,arabian_sea,winter_monsoon_DJF,train,-0.07953393191056088,0.047783613,1.4962149
2024-11-17,15.25,72.0,arabian_sea,post_monsoon_SON,test,0.8702565529372189,1.0964069,0.7679119
2023-03-16,6.0,90.5,bay_of_bengal,pre_monsoon_MAM,val,0.289989788532068,3.0734673,-4.325596
2022-11-13,20.0,66.25,arabian_sea,post_monsoon_SON,train,0.02728162392439743,-0.42590377,2.7615979
2023-10-27,16.5,55.25,arabian_sea,post_monsoon_SON,val,-0.11995036083768454,-4.4696407,-1.0793791
2023-02-10,19.0,91.0,bay_of_bengal,winter_monsoon_DJF,val,-1.7106322534813008,-6.2273555,0.8733134
2023-11-16,6.25,94.0,bay_of_bengal,post_monsoon_SON,val,0.6003312475400686,0.15016907,-5.555543
2021-09-27,10.5,89.0,bay_of_bengal,post_monsoon_SON,train,0.3361801503437941,2.5473757,1.7515247
2023-07-05,12.5,65.25,arabian_sea,summer_monsoon_JJA,val,0.06192439528319201,-0.31205088,1.4731735
2022-08-22,15.5,53.75,arabian_sea,summer_monsoon_JJA,train,-2.351524211909684,-14.229197,1.2106023
2024-01-06,13.25,71.25,arabian_sea,winter_monsoon_DJF,test,0.14420101167486332,-0.07908109,3.4909697
2022-08-06,12.0,61.25,arabian_sea,summer_monsoon_JJA,train,-1.7727006554094102,-6.6654716,-0.081134915
2024-08-14,14.75,88.0,bay_of_bengal,summer_monsoon_JJA,test,0.8991251160951377,0.49977785,0.14094317
2024-06-27,14.25,92.75,bay_of_bengal,summer_monsoon_JJA,test,0.720137877049109,2.591301,-0.8342867
2023-02-02,9.75,57.75,arabian_sea,winter_monsoon_DJF,val,-1.1260350394126981,-4.785926,1.4163626
2021-08-06,15.25,89.25,bay_of_bengal,summer_monsoon_JJA,train,0.20626941360297277,1.7694672,-1.031249
2021-02-23,16.25,70.25,arabian_sea,winter_monsoon_DJF,train,0.13409662912680906,0.5674826,0.79053456
2024-06-17,9.5,85.25,bay_of_bengal,summer_monsoon_JJA,test,0.8947949417479593,1.6893878,-0.023627996
2021-05-16,12.5,74.0,arabian_sea,pre_monsoon_MAM,train,0.06192439528319201,4.103044,-3.6420958
2023-07-28,15.75,57.0,arabian_sea,summer_monsoon_JJA,val,-2.136450167651163,-11.543549,0.7030283
2023-03-24,6.25,85.75,bay_of_bengal,pre_monsoon_MAM,val,0.5714621337496032,2.5887737,0.85139
2023-06-20,11.25,61.75,arabian_sea,summer_monsoon_JJA,val,0.4848553430107534,0.1320172,2.297284
2021-08-22,16.25,85.75,bay_of_bengal,summer_monsoon_JJA,train,0.565688476181274,0.8858615,-0.092351675
2024-04-25,10.75,63.25,arabian_sea,pre_monsoon_MAM,test,1.2903008095387525,4.304325,-1.9782917
2022-07-16,13.5,63.75,arabian_sea,summer_monsoon_JJA,train,-0.9816900210929173,-2.9514503,0.9215384
2022-07-08,8.25,61.0,arabian_sea,summer_monsoon_JJA,train,-0.581854254271219,-2.322394,2.141973
2023-03-13,9.75,82.5,bay_of_bengal,pre_monsoon_MAM,val,-0.20367046045050646,1.3943652,-2.336736
2022-03-24,6.5,76.25,arabian_sea,pre_monsoon_MAM,train,0.558471060075521,3.1198988,1.1467118
2021-10-07,12.0,80.5,bay_of_bengal,post_monsoon_SON,train,0.6681738576690539,2.4956832,0.39010495
